128 128
-59.725830   0.945951 -833.822181
-58.732296   0.838585 -833.785288
-57.738761   0.731218 -833.748394
-56.745226   0.623852 -833.711501
-55.751691   0.516486 -833.674607
-54.758157   0.409119 -833.637714
-53.764622   0.301753 -833.600821
-52.771087   0.194387 -833.563927
-51.777552   0.087021 -833.527034
-50.784017  -0.020346 -833.490140
-49.790483  -0.127712 -833.453247
-48.796948  -0.235078 -833.416354
-47.803413  -0.342445 -833.379460
-46.809878  -0.449811 -833.342567
-45.816344  -0.557177 -833.305673
-44.822809  -0.664543 -833.268780
-43.829274  -0.771910 -833.231887
-42.835739  -0.879276 -833.194993
-41.842204  -0.986642 -833.158100
-40.848670  -1.094009 -833.121206
-39.855135  -1.201375 -833.084313
-38.861600  -1.308741 -833.047419
-37.868065  -1.416107 -833.010526
-36.874531  -1.523474 -832.973633
-35.880996  -1.630840 -832.936739
-34.887461  -1.738206 -832.899846
-33.893926  -1.845573 -832.862952
-32.900391  -1.952939 -832.826059
-32.411681  -3.030670 -822.018238
-31.450424  -3.200080 -821.292675
-30.483944  -3.359451 -820.678533
-29.525050  -3.533404 -819.902539
-28.558489  -3.692617 -819.290146
-27.581764  -3.832295 -818.894601
-26.605109  -3.972109 -818.497546
-25.634399  -4.123348 -817.973664
-24.657426  -4.262548 -817.583427
-23.678779  -4.398531 -817.228884
-21.971509  -3.133968 -832.420232
-20.977974  -3.241334 -832.383338
-19.984439  -3.348701 -832.346445
-18.990905  -3.456067 -832.309551
-17.997370  -3.563433 -832.272658
-17.003835  -3.670799 -832.235765
-16.010300  -3.778166 -832.198871
-15.016765  -3.885532 -832.161978
-14.023231  -3.992898 -832.125084
-13.779312  -5.541164 -816.094398
-12.788770  -5.654284 -815.993638
-11.800344  -5.771469 -815.847756
-10.811646  -5.888133 -815.707656
 -9.055557  -4.529730 -831.940617
 -8.062022  -4.637096 -831.903724
 -7.068487  -4.744462 -831.866831
 -6.074952  -4.851829 -831.829937
 -5.081418  -4.959195 -831.793044
 -4.087883  -5.066561 -831.756150
 -3.094348  -5.173927 -831.719257
 -2.100813  -5.281294 -831.682363
 -1.107279  -5.388660 -831.645470
 -0.113744  -5.496026 -831.608577
  0.879791  -5.603393 -831.571683
  1.873326  -5.710759 -831.534790
  2.866861  -5.818125 -831.497896
  3.860395  -5.925491 -831.461003
  4.853930  -6.032858 -831.424110
  5.847465  -6.140224 -831.387216
  6.841000  -6.247590 -831.350323
  7.520631  -6.958336 -824.615993
  8.553384  -6.990319 -825.415847
  9.584774  -7.024921 -826.186633
 10.616555  -7.058771 -826.965761
 11.643050  -7.102780 -827.632117
 12.675962  -7.134456 -828.435380
 13.707098  -7.169547 -829.200736
 14.745754  -7.190182 -830.126545
 15.782813  -7.213887 -831.018282
 16.776348  -7.321253 -830.981389
 17.769882  -7.428619 -830.944495
 18.763417  -7.535986 -830.907602
 19.756952  -7.643352 -830.870709
 20.750487  -7.750718 -830.833815
 21.744021  -7.858085 -830.796922
 22.737556  -7.965451 -830.760028
 23.731091  -8.072817 -830.723135
 24.724626  -8.180183 -830.686242
 25.718161  -8.287550 -830.649348
 26.711695  -8.394916 -830.612455
 27.705230  -8.502282 -830.575561
 28.698765  -8.609649 -830.538668
 29.692300  -8.717015 -830.501775
 30.685834  -8.824381 -830.464881
 31.679369  -8.931747 -830.427988
 32.672904  -9.039114 -830.391094
 33.666439  -9.146480 -830.354201
 34.659974  -9.253846 -830.317308
 35.653508  -9.361213 -830.280414
 36.647043  -9.468579 -830.243521
 37.640578  -9.575945 -830.206627
 38.634113  -9.683311 -830.169734
-87.441294   4.942378 -834.761139
-86.447759   4.835012 -834.724246
-85.454225   4.727646 -834.687352
-84.460690   4.620279 -834.650459
-83.467155   4.512913 -834.613566
-82.473620   4.405547 -834.576672
-81.480085   4.298180 -834.539779
-80.486551   4.190814 -834.502885
-79.493016   4.083448 -834.465992
-78.499481   3.976082 -834.429099
-77.505946   3.868715 -834.392205
-76.512412   3.761349 -834.355312
-75.518877   3.653983 -834.318418
-74.525342   3.546616 -834.281525
-73.531807   3.439250 -834.244632
-72.538272   3.331884 -834.207738
-71.544738   3.224517 -834.170845
-70.551203   3.117151 -834.133951
-69.557668   3.009785 -834.097058
-68.564133   2.902419 -834.060165
-67.570599   2.795052 -834.023271
-66.577064   2.687686 -833.986378
-65.583529   2.580320 -833.949484
-64.589994   2.472953 -833.912591
-63.596459   2.365587 -833.875698
-62.602925   2.258221 -833.838804
-61.609390   2.150855 -833.801911
-60.615855   2.043488 -833.765017
-59.622320   1.936122 -833.728124
-58.628786   1.828756 -833.691230
-57.635251   1.721389 -833.654337
-56.641716   1.614023 -833.617444
-55.648181   1.506657 -833.580550
-54.654646   1.399291 -833.543657
-53.661112   1.291924 -833.506763
-52.667577   1.184558 -833.469870
-51.674042   1.077192 -833.432977
-50.680507   0.969825 -833.396083
-49.686973   0.862459 -833.359190
-48.693438   0.755093 -833.322296
-47.699903   0.647727 -833.285403
-46.706368   0.540360 -833.248510
-45.712833   0.432994 -833.211616
-44.719299   0.325628 -833.174723
-43.725764   0.218261 -833.137829
-42.732229   0.110895 -833.100936
-41.738694   0.003529 -833.064043
-40.745160  -0.103837 -833.027149
-39.751625  -0.211204 -832.990256
-38.758090  -0.318570 -832.953362
-37.764555  -0.425936 -832.916469
-36.771020  -0.533303 -832.879576
-36.145555  -1.348166 -824.989554
-34.783951  -0.748035 -832.805789
-34.253257  -1.745066 -822.893735
-33.308355  -1.945913 -821.819217
-32.354432  -2.129422 -820.937149
-31.395696  -2.303677 -820.157804
-30.432213  -2.468808 -819.479721
-29.466856  -2.630338 -818.841623
-28.507098  -2.802629 -818.084077
-27.532533  -2.946459 -817.642437
-26.557815  -3.089994 -817.204074
-25.584282  -3.235808 -816.740411
-24.606114  -3.372712 -816.375657
-23.625136  -3.504215 -816.070847
-22.641614  -3.630827 -815.820331
-21.654481  -3.750500 -815.646841
-20.664182  -3.864086 -815.540909
-19.676087  -3.981907 -815.387964
-18.689504  -4.102636 -815.202744
-17.697325  -4.212609 -815.136916
-16.712027  -4.335807 -814.924301
-15.722909  -4.451663 -814.793166
-14.730197  -4.560611 -814.738722
-13.736400  -4.667474 -814.707416
-12.745067  -4.779073 -814.623540
-11.755410  -4.893892 -814.503922
-10.764216  -5.005757 -814.417089
 -9.769485  -5.110825 -814.405710
 -8.770860  -5.208407 -814.477418
 -7.771168  -5.303939 -814.571885
 -6.771817  -5.400124 -814.659101
